hisse;CO;LO;NO;FBO;KO;ADH;SDH;AK;BKM;FM;NKM;OK;ROIC;Y
BFREN;2.65;2.17;0.8;10.37;38.05;1.99;12.59;25.79;15.68;15.3;12.95;39.28;42.91;1
KUYAS;1.48;0.93;0.09;58.29;71.64;0.08;0.46;-10.79;28.66;-48.52;-13.03;-33.49;-3.27;0
TMPOL;1.27;0.94;0.08;46.86;67.74;0.75;4.18;14.96;24.76;17.26;19.88;52.72;29.81;0
SEKUR;1.3;0.94;0.1;37.81;60.91;0.98;5.97;1.48;17.59;15.37;1.51;4.51;16.87;0
SANFM;0.99;0.72;0.13;41.78;78.88;1.13;6.01;4.38;18.67;9.97;3.88;20.08;46.87;0
POLHO;1.32;1.03;0.38;23;37.05;0.45;5.95;2.88;16.21;11.8;6.45;4.5;8.8;1
MRSHL;1.15;0.97;0.26;32.19;72.12;1.4;5.63;6.67;39.06;16.37;4.76;25.13;20.91;1
MEGAP;1.21;0.92;0.07;9.02;76.14;2.32;12.07;9.22;8.36;7.34;3.98;29.11;55.9;0
EPLAS;1.44;0.7;0.09;6.99;60.84;1.21;3.12;1.71;27.21;11.6;1.41;4.6;73.91;0
KONTR;1.13;1.06;0.17;16.97;75.9;1.44;11.77;21.3;21.13;14.8;14.82;10.69;16.51;0
NETAS;1.25;1.14;0.16;32.91;73.27;0.69;10.93;-7.68;12.05;2.2;-11.19;-22.02;-0.97;1
LINK;9.14;9.14;7;0;14.13;0.44;17.03;20.84;84.9;44.31;47.51;23.99;18.28;0
FONET;1.32;1.26;0.32;2.87;15.64;0.65;49.44;19.25;39.06;36.73;29.84;24.52;69.78;0
ESCOM;8.76;8.76;0.27;2;4.17;0.01;3;-21.24;89;-84.56;-12.1;-22.01;-8.4;0
DGATE;1.78;1.4;0.14;28.3;54.78;2.99;21.04;9.36;4.77;2.91;3.13;20.95;26.8;0
DESPC;2.06;1.48;0.04;25.31;48.43;2.07;7.35;9.22;8.83;5.2;4.44;16.05;14.21;0
ARENA;1.58;1.22;0.19;14.07;62.7;2.93;12.24;2.93;5.39;2.67;1;7.56;23.25;1
ARMDA;1.5;1.36;0.28;22.91;75.28;2.06;21.3;0.9;4.64;2.2;0.44;3.58;13.82;1
IZTAR;0.7;0.31;0.01;23.38;41.77;0.33;2.91;-5.16;16.32;1.4;-15.67;-11.19;4.66;0
